Date,BAR_KWH_Main_Electric (kWh),BAR_PWR_Main_Electric (kW)
2015-12-03 18:45,11812.608000000007,214.272
2015-12-03 19:00,11866.175999999978,214.272
2015-12-03 19:15,11919.743999999948,214.272
2015-12-03 19:30,11971.58400000073,207.36
2015-12-03 19:45,12023.424000000581,207.36
2015-12-03 20:00,12075.264000000432,207.36
2015-12-03 20:15,12128.832000000402,214.272
2015-12-03 20:30,12180.672000000253,207.36
2015-12-03 20:45,12232.512000000104,207.36
2015-12-03 21:00,12282.624000000767,200.448
2015-12-03 21:15,12334.464000000618,207.36
2015-12-03 21:30,12384.57600000035,200.448
2015-12-03 21:45,12436.416000000201,207.36
2015-12-03 22:00,12464.064000000246,110.592
2015-12-03 22:15,12488.256000000052,96.768
2015-12-03 22:30,12512.44800000079,96.768
2015-12-03 22:45,12536.640000000596,96.768
2015-12-03 23:00,12559.104000000283,89.856
2015-12-03 23:15,12581.56799999997,89.856
2015-12-03 23:30,12604.032000000589,89.856
2015-12-03 23:45,12626.496000000276,89.856
2015-12-04 00:00,12647.232000000775,82.944
2015-12-04 00:15,12669.696000000462,89.856
2015-12-04 00:30,12690.43200000003,82.944
2015-12-04 00:45,12711.168000000529,82.944
2015-12-04 01:00,12733.632000000216,89.856
2015-12-04 01:15,12754.368000000715,82.944
2015-12-04 01:30,12775.104000000283,82.944
2015-12-04 01:45,12795.840000000782,82.944
2015-12-04 02:00,12816.57600000035,82.944
2015-12-04 02:15,12837.31200000085,82.944
2015-12-04 02:30,12858.048000000417,82.944
2015-12-04 02:45,12878.783999999985,82.944
2015-12-04 03:00,12899.520000000484,82.944
2015-12-04 03:15,12920.256000000052,82.944
2015-12-04 03:30,12940.992000000551,82.944
2015-12-04 03:45,12961.72800000012,82.944
2015-12-04 04:00,12980.7360000005,76.032
2015-12-04 04:15,13003.200000000186,89.856
2015-12-04 04:30,13023.936000000685,82.944
2015-12-04 04:45,13044.672000000253,82.944
2015-12-04 05:00,13065.408000000753,82.944
2015-12-04 05:15,13087.87200000044,89.856
2015-12-04 05:30,13108.608000000007,82.944
2015-12-04 05:45,13131.072000000626,89.856
2015-12-04 06:00,13151.808000000194,82.944
2015-12-04 06:15,13174.272000000812,89.856
2015-12-04 06:30,13195.00800000038,82.944
2015-12-04 06:45,13215.743999999948,82.944
2015-12-04 07:00,13262.400000000373,186.624
2015-12-04 07:15,13309.056000000797,186.624
2015-12-04 07:30,13357.44000000041,193.536
2015-12-04 07:45,13405.824000000022,193.536
2015-12-04 08:00,13457.664000000805,207.36
2015-12-04 08:15,13509.504000000656,207.36
2015-12-04 08:30,13561.344000000507,207.36
2015-12-04 08:45,13613.184000000358,207.36
2015-12-04 09:00,13668.480000000447,221.184
2015-12-04 09:15,13725.504000000656,228.096
2015-12-04 09:30,13780.800000000745,221.184
