Date,LAT_PWR_Building_Total (kW),LAT_PWR_Roof_Mech_Electric (kW),LAT_PWR_Building_Total - New + Old meters (kW),LAT_PWR_Building_Total - Old Meters (kW)
2017-01-03 13:45,625.7011111111111,234.00111111111113,625.7011111111111,395.7
2017-01-03 14:00,629.4988888888889,234.9988888888889,629.4988888888889,398.5
2017-01-03 14:15,634.5011111111112,234.00111111111113,634.5011111111112,404.5
2017-01-03 14:30,622.1977777777778,235.99777777777777,622.1977777777778,390.20000000000005
2017-01-03 14:45,622.6011111111111,235.00111111111113,622.6011111111111,391.6
2017-01-03 15:00,638.1988888888889,235.9988888888889,638.1988888888889,406.2
2017-01-03 15:15,623.7033333333334,233.00333333333333,623.7033333333334,394.70000000000005
2017-01-03 15:30,618.0,233.0,618.0,389.0
2017-01-03 15:45,622.6,233.0,622.6,393.6
2017-01-03 16:00,625.3988888888889,233.9988888888889,625.3988888888889,395.4
2017-01-03 16:15,610.2011111111111,233.0011111111111,610.2011111111111,381.2
2017-01-03 16:30,615.9022222222222,231.00222222222223,615.9022222222222,388.9
2017-01-03 16:45,603.3,231.0,603.3,376.29999999999995
2017-01-03 17:00,600.3,231.0,600.3,373.3
2017-01-03 17:15,609.6,231.0,609.6,382.6
2017-01-03 17:30,599.8033333333333,228.00333333333333,599.8033333333333,375.79999999999995
2017-01-03 17:45,593.6,228.0,593.6,369.6
2017-01-03 18:00,585.5011111111112,227.00111111111113,585.5011111111112,362.5
2017-01-03 18:15,600.0,227.00000000000003,600.0,377.0
2017-01-03 18:30,586.6011111111111,226.00111111111113,586.6011111111111,364.6
2017-01-03 18:45,577.4,226.0,577.4,355.4
2017-01-03 19:00,571.5,226.0,571.5,349.5
2017-01-03 19:15,578.1011111111111,225.0011111111111,578.1011111111111,357.1
2017-01-03 19:30,579.5055555555556,220.00555555555556,579.5055555555556,363.5
2017-01-03 19:45,557.3011111111111,219.00111111111113,557.3011111111111,342.29999999999995
2017-01-03 20:00,568.1011111111111,218.00111111111113,568.1011111111111,354.1
2017-01-03 20:15,557.7033333333334,215.00333333333333,557.7033333333334,346.70000000000005
2017-01-03 20:30,557.5977777777778,216.99777777777777,557.5977777777778,344.6
2017-01-03 20:45,560.0011111111112,216.00111111111113,560.0011111111112,348.0
2017-01-03 21:00,550.8988888888889,216.9988888888889,550.8988888888889,337.9
2017-01-03 21:15,538.8033333333333,214.00333333333333,538.8033333333333,328.79999999999995
2017-01-03 21:30,549.5011111111112,213.00111111111113,549.5011111111112,340.5
2017-01-03 21:45,552.2011111111111,212.00111111111113,552.2011111111111,344.2
2017-01-03 22:00,558.2,212.0,558.2,350.2
2017-01-03 22:15,536.0033333333333,209.00333333333333,536.0033333333333,331.0
2017-01-03 22:30,550.6,209.0,550.6,345.6
2017-01-03 22:45,540.8022222222222,207.00222222222223,540.8022222222222,337.79999999999995
2017-01-03 23:00,541.5011111111111,206.0011111111111,541.5011111111111,339.5
2017-01-03 23:15,545.9,206.0,545.9,343.9
2017-01-03 23:30,552.7022222222223,205.00111111111113,552.7022222222223,352.70000000000005
2017-01-03 23:45,545.7,204.00111111111113,545.7,345.7
2017-01-04 00:00,539.3,204.0,539.3,339.29999999999995
2017-01-04 00:15,531.1,204.0,531.1,331.1
2017-01-04 00:30,539.3,204.0,539.3,339.3
2017-01-04 00:45,544.8011111111111,203.0011111111111,544.8011111111111,345.8
2017-01-04 01:00,540.7011111111111,202.00111111111113,540.7011111111111,342.7
2017-01-04 01:15,544.9,202.00000000000003,544.9,346.9
2017-01-04 01:30,535.9,202.00000000000003,535.9,337.9
2017-01-04 01:45,539.0,202.00000000000003,539.0,341.0
2017-01-04 02:00,532.6011111111111,201.00111111111113,532.6011111111111,335.6
2017-01-04 02:15,537.0,201.0,537.0,340.0
2017-01-04 02:30,528.6,201.0,528.6,331.6
2017-01-04 02:45,522.7,201.0,522.7,325.7
2017-01-04 03:00,534.1,201.0,534.1,337.1
2017-01-04 03:15,530.0,201.0,530.0,333.0
2017-01-04 03:30,528.9,201.0,528.9,331.9
2017-01-04 03:45,543.1,201.0,543.1,346.1
2017-01-04 04:00,543.7,201.0,543.7,346.7
2017-01-04 04:15,531.0,201.0,531.0,334.0
2017-01-04 04:30,540.8,201.0,540.8,343.8
2017-01-04 04:45,548.1,201.0,548.1,351.1
2017-01-04 05:00,544.7011111111112,200.00111111111113,544.7011111111112,348.70000000000005
2017-01-04 05:15,530.1988888888889,200.9988888888889,530.1988888888889,333.2
2017-01-04 05:30,552.9,201.0,552.9,355.9
2017-01-04 05:45,538.0011111111112,200.00111111111113,538.0011111111112,342.0
2017-01-04 06:00,541.598888888889,200.9988888888889,541.598888888889,344.6
2017-01-04 06:15,542.098888888889,201.9988888888889,542.098888888889,344.1
2017-01-04 06:30,533.3011111111111,201.00111111111113,533.3011111111111,336.29999999999995
2017-01-04 06:45,535.5966666666667,203.99666666666667,535.5966666666667,335.6
2017-01-04 07:00,542.7,204.0,542.7,342.7
2017-01-04 07:15,552.1,204.0,552.1,352.1
2017-01-04 07:30,,204.9988888888889,383.69888888888886,182.7
2017-01-04 07:45,554.0977777777778,206.9977777777778,554.0977777777778,351.1
2017-01-04 08:00,561.4,207.0,561.4,358.4
2017-01-04 08:15,570.6944444444445,211.99444444444444,570.6944444444445,362.7
2017-01-04 08:30,576.9966666666667,214.99666666666667,576.9966666666667,366.0
2017-01-04 08:45,575.7977777777777,216.99777777777777,575.7977777777777,362.79999999999995
2017-01-04 09:00,576.6988888888889,217.9988888888889,576.6988888888889,362.7
2017-01-04 09:15,597.8922222222222,224.9922222222222,597.8922222222222,376.9
2017-01-04 09:30,591.698888888889,225.9988888888889,591.698888888889,369.70000000000005
2017-01-04 09:45,603.3022222222222,224.00222222222223,603.3022222222222,383.3
2017-01-04 10:00,603.2933333333333,229.99333333333337,603.2933333333333,377.29999999999995
2017-01-04 10:15,615.4,230.00000000000003,615.4,389.4
2017-01-04 10:30,614.1988888888889,230.9988888888889,614.1988888888889,387.2
2017-01-04 10:45,613.9,231.0,613.9,386.9
2017-01-04 11:00,619.9,231.0,619.9,392.9
2017-01-04 11:15,625.8977777777777,232.99777777777777,625.8977777777777,396.9
2017-01-04 11:30,631.6988888888889,233.9988888888889,631.6988888888889,401.7
2017-01-04 11:45,643.8977777777777,235.99777777777777,643.8977777777777,411.9
2017-01-04 12:00,635.5011111111112,235.00111111111113,635.5011111111112,404.5
2017-01-04 12:15,640.6033333333334,232.00333333333336,640.6033333333334,412.6
2017-01-04 12:30,649.598888888889,232.9988888888889,649.598888888889,420.6
2017-01-04 12:45,637.3011111111111,232.00111111111113,637.3011111111111,409.3
2017-01-04 13:00,623.3988888888889,232.9988888888889,623.3988888888889,394.4
2017-01-04 13:15,634.8,233.0,634.8,405.79999999999995
2017-01-04 13:30,631.7,233.0,631.7,402.7
2017-01-04 13:45,632.2977777777778,234.9977777777778,632.2977777777778,401.3
2017-01-04 14:00,626.9977777777779,236.9977777777778,626.9977777777779,394.0
2017-01-04 14:15,647.901111111111,236.0011111111111,647.901111111111,415.9
2017-01-04 14:30,633.4022222222222,234.00222222222223,633.4022222222222,403.4
2017-01-04 14:45,646.1,234.0,646.1,416.1
2017-01-04 15:00,653.2,234.0,653.2,423.2
2017-01-04 15:15,637.6,234.0,637.6,407.6
2017-01-04 15:30,619.0055555555556,229.00555555555556,619.0055555555556,394.0
2017-01-04 15:45,619.1955555555555,232.99555555555554,619.1955555555555,390.2
2017-01-04 16:00,637.098888888889,233.9988888888889,637.098888888889,407.1
2017-01-04 16:15,628.0022222222223,232.00222222222223,628.0022222222223,400.0
2017-01-04 16:30,629.0,232.00000000000003,629.0,401.0
2017-01-04 16:45,620.1011111111111,231.00111111111113,620.1011111111111,393.1
2017-01-04 17:00,615.6022222222222,230.00111111111113,615.6022222222223,390.6
2017-01-04 17:15,607.7,229.00111111111113,607.7,382.7
2017-01-04 17:30,610.1977777777778,230.99777777777777,610.1977777777778,383.2
2017-01-04 17:45,598.0,231.0,598.0,371.0
2017-01-04 18:00,607.0033333333333,228.00333333333333,607.0033333333333,383.0
2017-01-04 18:15,598.1033333333334,225.00333333333333,598.1033333333334,377.1
2017-01-04 18:30,583.2966666666666,227.99666666666667,583.2966666666666,359.29999999999995
2017-01-04 18:45,578.3044444444445,224.00444444444446,578.3044444444445,358.3
2017-01-04 19:00,588.3988888888889,224.9988888888889,588.3988888888889,367.4
2017-01-04 19:15,573.6022222222223,223.00222222222223,573.6022222222223,354.6
2017-01-04 19:30,570.5,223.0,570.5,351.5
2017-01-04 19:45,579.5055555555556,218.00555555555556,579.5055555555556,365.5
2017-01-04 20:00,558.1977777777778,219.99777777777777,558.1977777777778,342.2
2017-01-04 20:15,569.6011111111111,219.00111111111113,569.6011111111111,354.6
2017-01-04 20:30,555.4022222222222,217.00222222222223,555.4022222222222,342.4
2017-01-04 20:45,567.8,217.0,567.8,354.79999999999995
2017-01-04 21:00,567.401111111111,216.00111111111113,567.401111111111,355.4
2017-01-04 21:15,557.3022222222222,214.00222222222223,557.3022222222222,347.3
2017-01-04 21:30,549.7011111111112,213.00111111111113,549.7011111111112,340.70000000000005
2017-01-04 21:45,560.0022222222223,211.00222222222226,560.0022222222223,353.0
2017-01-04 22:00,562.3988888888889,211.9988888888889,562.3988888888889,354.4
2017-01-04 22:15,569.8033333333333,209.00333333333333,569.8033333333333,364.8
2017-01-04 22:30,540.901111111111,208.00111111111113,540.901111111111,336.9
2017-01-04 22:45,546.901111111111,207.00111111111113,546.901111111111,343.9
2017-01-04 23:00,542.2988888888889,207.9988888888889,542.2988888888889,338.3
2017-01-04 23:15,549.4977777777779,209.9977777777778,549.4977777777779,343.5
2017-01-04 23:30,549.0033333333333,207.00333333333333,549.0033333333333,346.0
2017-01-04 23:45,542.2,207.0,542.2,339.20000000000005
2017-01-05 00:00,556.7011111111111,206.0011111111111,556.7011111111111,354.7
2017-01-05 00:15,541.8988888888889,206.9988888888889,541.8988888888889,338.9
2017-01-05 00:30,544.7011111111111,206.0011111111111,544.7011111111111,342.7
2017-01-05 00:45,540.2988888888889,206.9988888888889,540.2988888888889,337.3
2017-01-05 01:00,545.0011111111111,206.0011111111111,545.0011111111111,343.0
2017-01-05 01:15,544.8,206.0,544.8,342.8
2017-01-05 01:30,531.1999999999999,206.9988888888889,531.2,329.2
2017-01-05 01:45,545.3011111111111,205.00222222222223,545.3011111111111,344.3
2017-01-05 02:00,531.1011111111111,204.00111111111113,531.1011111111111,331.1
2017-01-05 02:15,537.5,204.0,537.5,337.5
2017-01-05 02:30,551.6,204.0,551.6,351.6
2017-01-05 02:45,551.8,204.0,551.8,351.79999999999995
2017-01-05 03:00,554.2,204.0,554.2,354.2
2017-01-05 03:15,537.5,204.0,537.5,337.5
2017-01-05 03:30,540.8988888888889,204.9988888888889,540.8988888888889,339.9
2017-01-05 03:45,550.8011111111111,204.00111111111113,550.8011111111111,350.8
2017-01-05 04:00,550.6,204.0,550.6,350.6
2017-01-05 04:15,553.2,204.0,553.2,353.2
2017-01-05 04:30,541.7,204.0,541.7,341.7
2017-01-05 04:45,541.401111111111,203.0011111111111,541.401111111111,342.4
2017-01-05 05:00,534.598888888889,203.9988888888889,534.598888888889,334.6
2017-01-05 05:15,549.401111111111,203.0011111111111,549.401111111111,350.4
2017-01-05 05:30,550.9,203.0,550.9,351.9
2017-01-05 05:45,566.0,203.0,566.0,367.0
2017-01-05 06:00,542.7,203.0,542.7,343.7
2017-01-05 06:15,546.2,203.0,546.2,347.2
2017-01-05 06:30,566.3,203.0,566.3,367.3
2017-01-05 06:45,553.5977777777778,204.9977777777778,553.5977777777778,352.6
2017-01-05 07:00,560.4,205.9988888888889,560.4,359.4
2017-01-05 07:15,560.2988888888889,206.0,560.2988888888889,358.3
2017-01-05 07:30,565.2988888888889,206.9988888888889,565.2988888888889,362.3
2017-01-05 07:45,585.4977777777777,208.99777777777777,585.4977777777777,380.5
2017-01-05 08:00,570.4988888888889,209.9988888888889,570.4988888888889,364.5
2017-01-05 08:15,570.7966666666666,212.99666666666667,570.7966666666666,361.8
2017-01-05 08:30,585.7955555555556,216.99555555555557,585.7955555555556,372.79999999999995
2017-01-05 08:45,587.7033333333333,215.00222222222223,587.7033333333334,377.7
2017-01-05 09:00,595.0922222222223,220.99333333333334,595.0922222222223,378.1
2017-01-05 09:15,610.8988888888889,221.9988888888889,610.8988888888889,392.9
2017-01-05 09:30,617.6944444444445,227.99333333333334,617.6944444444446,394.70000000000005
2017-01-05 09:45,630.9022222222222,228.0,630.9022222222222,409.9
2017-01-05 10:00,615.5966666666667,230.99666666666667,615.5966666666667,391.6
2017-01-05 10:15,628.8011111111111,230.00111111111113,628.8011111111111,405.79999999999995
2017-01-05 10:30,616.401111111111,229.00111111111113,616.401111111111,394.4
2017-01-05 10:45,637.1977777777778,230.99777777777777,637.1977777777778,413.20000000000005
